None,0.568,0.092,45.574,2.764,0.68
Load_data,132.52,1.12,190.178,2.808,0.708
long_to_wide,142.524,1.456,200.63,2.852,0.736
None,142.524,1.456,200.631,2.852,0.736
test_calculation,143.044,2.444,338.533,2.884,0.776
None,143.068,2.444,338.555,2.884,0.776
Load_data,289.816,3.532,492.355,461.944,7.584
long_to_wide,302.072,4.12,505.365,462.02,7.664
None,302.072,4.12,505.366,462.02,7.664
test_calculation,302.736,5.34,705.916,462.108,7.752
None,302.752,5.34,705.933,462.108,7.752
test_calculation,303.104,5.82,1049.122,681.212,12.968
None,303.104,5.82,1049.123,681.212,12.968
